,CODIGO_CLIENTE,UF,ULTIMO_SALARIO,MEDIA_SALARIO_ZIP,TEMPO_ULTIMO_EMPREGO_MESES,RECOMENDADO,saving
119,129,RJ,9800.0,9800.0,120,NÃO,0.0
120,130,SP,15000.0,15000.0,15,NÃO,0.0
121,131,MG,6100.0,6100.0,80,NÃO,0.0
122,132,SC,9000.0,9000.0,12,NÃO,0.0
123,133,PR,17500.0,17500.0,75,NÃO,0.0
124,134,RJ,13000.0,13000.0,90,NÃO,0.0
125,135,SP,5300.0,5300.0,93,NÃO,0.0
126,136,RJ,18300.0,18300.0,150,NÃO,0.0
127,138,MG,4800.0,4800.0,9,NÃO,0.0
128,139,SC,2200.0,2200.0,18,NÃO,0.0
129,140,PR,3900.0,3900.0,22,NÃO,0.0
130,141,RJ,11500.0,11500.0,30,NÃO,0.0
131,142,SP,3100.0,3100.0,14,NÃO,0.0
132,143,MG,6800.0,6800.0,19,NÃO,0.0
133,144,SC,22000.0,22000.0,25,NÃO,0.0
134,145,PR,4500.0,4500.0,48,NÃO,0.0
135,146,RJ,9800.0,9800.0,120,NÃO,0.0
136,147,SP,15000.0,15000.0,15,NÃO,0.0
137,148,MG,6100.0,6100.0,80,NÃO,0.0
138,149,SC,9000.0,9000.0,12,NÃO,0.0
139,150,PR,17500.0,17500.0,75,NÃO,0.0
140,151,RJ,13000.0,13000.0,90,NÃO,0.0
141,152,SP,5300.0,5300.0,93,NÃO,0.0
142,153,RJ,18300.0,18300.0,150,NÃO,0.0
143,155,MG,4800.0,4800.0,9,NÃO,0.0
144,156,SC,2200.0,2200.0,18,NÃO,0.0
145,157,PR,3900.0,3900.0,22,NÃO,0.0
146,158,RJ,11500.0,11500.0,30,NÃO,0.0
147,159,SP,3100.0,3100.0,14,NÃO,0.0
148,160,MG,6800.0,6800.0,19,NÃO,0.0
149,161,SC,1800.0,1800.0,8,NÃO,0.0
150,162,PR,4800.0,4800.0,9,NÃO,0.0
151,163,RJ,2200.0,2200.0,18,NÃO,0.0
152,164,SP,3900.0,3900.0,22,NÃO,0.0
153,165,MG,11500.0,11500.0,30,NÃO,0.0
154,166,SC,3100.0,3100.0,14,NÃO,0.0
155,167,PR,6800.0,6800.0,19,NÃO,0.0
156,168,RJ,22000.0,22000.0,25,NÃO,0.0
157,169,SP,4500.0,4500.0,48,NÃO,0.0
158,170,RJ,9800.0,9800.0,120,NÃO,0.0
159,172,MG,6100.0,6100.0,80,NÃO,0.0
160,173,SC,9000.0,9000.0,12,NÃO,0.0
161,174,PR,17500.0,17500.0,75,NÃO,0.0
162,175,RJ,13000.0,13000.0,90,NÃO,0.0
163,176,SP,5300.0,5300.0,93,NÃO,0.0
164,177,MG,18300.0,18300.0,150,NÃO,0.0
165,178,SC,1800.0,1800.0,8,NÃO,0.0
166,179,PR,4800.0,4800.0,9,NÃO,0.0
167,180,RJ,2200.0,2200.0,18,NÃO,0.0
168,181,SP,3900.0,3900.0,22,NÃO,0.0
169,182,MG,11500.0,11500.0,30,NÃO,0.0
170,183,SC,3100.0,3100.0,14,NÃO,0.0
171,184,PR,6800.0,6800.0,19,NÃO,0.0
172,185,RJ,1800.0,1800.0,8,NÃO,0.0
173,186,SP,4800.0,4800.0,9,NÃO,0.0
174,187,RJ,2200.0,2200.0,18,NÃO,0.0
175,189,MG,11500.0,11500.0,30,NÃO,0.0
176,190,SC,3100.0,3100.0,14,NÃO,0.0
177,191,PR,6800.0,6800.0,19,NÃO,0.0
178,192,RJ,22000.0,22000.0,25,NÃO,0.0
179,193,SP,4500.0,4500.0,48,NÃO,0.0
180,194,MG,9800.0,9800.0,120,NÃO,0.0
181,195,SC,15000.0,15000.0,15,NÃO,0.0
182,196,PR,6100.0,6100.0,80,NÃO,0.0
183,197,RJ,9000.0,9000.0,12,NÃO,0.0
184,198,SP,17500.0,17500.0,75,NÃO,0.0
185,199,MG,13000.0,13000.0,90,NÃO,0.0
186,200,SC,5300.0,5300.0,93,NÃO,0.0
187,201,PR,18300.0,18300.0,150,NÃO,0.0
188,202,RJ,1800.0,1800.0,8,NÃO,0.0
189,203,SP,4800.0,4800.0,9,NÃO,0.0
190,204,RJ,2200.0,2200.0,18,NÃO,0.0
191,206,MG,11500.0,11500.0,30,NÃO,0.0
192,207,SC,3100.0,3100.0,14,NÃO,0.0
193,208,PR,6800.0,6800.0,19,NÃO,0.0
194,209,RJ,1800.0,1800.0,8,NÃO,0.0
195,210,SP,4800.0,4800.0,9,NÃO,0.0
196,211,MG,2200.0,2200.0,18,NÃO,0.0
197,212,SC,3900.0,3900.0,22,NÃO,0.0
198,213,PR,11500.0,11500.0,30,NÃO,0.0
199,214,RJ,3100.0,3100.0,14,NÃO,0.0
200,215,SP,6800.0,6800.0,19,NÃO,0.0
201,216,MG,22000.0,22000.0,25,NÃO,0.0
202,217,SC,4500.0,4500.0,48,NÃO,0.0
203,218,PR,9800.0,9800.0,120,NÃO,0.0
204,219,RJ,15000.0,15000.0,15,NÃO,0.0
205,220,SP,6100.0,6100.0,80,NÃO,0.0
206,221,RJ,9000.0,9000.0,12,NÃO,0.0
207,223,MG,13000.0,13000.0,90,NÃO,0.0
208,224,SC,5300.0,5300.0,93,NÃO,0.0
209,225,PR,18300.0,18300.0,150,NÃO,0.0
210,226,RJ,1800.0,1800.0,8,NÃO,0.0
211,227,SP,4800.0,4800.0,9,NÃO,0.0
212,228,MG,2200.0,2200.0,18,NÃO,0.0
213,229,SC,3900.0,3900.0,22,NÃO,0.0
214,230,PR,11500.0,11500.0,30,NÃO,0.0
215,231,RJ,3100.0,3100.0,14,NÃO,0.0
216,232,SP,6800.0,6800.0,19,NÃO,0.0
217,233,MG,1800.0,1800.0,8,NÃO,0.0
218,234,SC,4800.0,4800.0,9,NÃO,0.0
219,235,PR,2200.0,2200.0,18,NÃO,0.0
220,236,RJ,3900.0,3900.0,22,NÃO,0.0
221,237,SP,11500.0,11500.0,30,NÃO,0.0
222,238,RJ,3100.0,3100.0,14,NÃO,0.0
223,240,MG,22000.0,22000.0,25,NÃO,0.0
224,241,SC,4500.0,4500.0,48,NÃO,0.0
225,242,PR,9800.0,9800.0,120,NÃO,0.0
226,243,RJ,15000.0,15000.0,15,NÃO,0.0
227,244,SP,6100.0,6100.0,80,NÃO,0.0
228,245,MG,9000.0,9000.0,12,NÃO,0.0
229,246,SC,17500.0,17500.0,75,NÃO,0.0
230,247,PR,13000.0,13000.0,90,NÃO,0.0
231,248,RJ,5300.0,5300.0,93,NÃO,0.0
232,249,SP,18300.0,18300.0,150,NÃO,0.0
233,250,MG,1800.0,1800.0,8,NÃO,0.0
234,251,SC,4800.0,4800.0,9,NÃO,0.0
235,252,PR,2200.0,2200.0,18,NÃO,0.0
236,253,RJ,3900.0,3900.0,22,NÃO,0.0
237,254,SP,11500.0,11500.0,30,NÃO,0.0
238,255,RJ,3100.0,3100.0,14,NÃO,0.0
239,256,RJ,6800.0,6800.0,19,NÃO,0.0
240,257,SP,15000.0,15000.0,15,NÃO,0.0
241,258,MG,6100.0,6100.0,80,NÃO,0.0
242,259,SC,9000.0,9000.0,12,NÃO,0.0
243,260,PR,17500.0,17500.0,75,NÃO,0.0
244,261,RJ,13000.0,13000.0,90,NÃO,0.0
245,262,SP,5300.0,5300.0,93,NÃO,0.0
246,263,MG,18300.0,18300.0,150,NÃO,0.0
247,264,SC,1800.0,1800.0,8,NÃO,0.0
248,265,PR,4800.0,4800.0,9,NÃO,0.0
249,266,RJ,2200.0,2200.0,18,NÃO,0.0
250,267,SP,3900.0,3900.0,22,NÃO,0.0
251,268,MG,11500.0,11500.0,30,NÃO,0.0
252,269,SC,3100.0,3100.0,14,NÃO,0.0
253,270,PR,6800.0,6800.0,19,NÃO,0.0
254,272,SP,4800.0,4800.0,9,NÃO,0.0
255,273,RJ,2200.0,2200.0,18,NÃO,0.0
256,274,SP,3900.0,3900.0,22,NÃO,0.0
257,275,MG,11500.0,11500.0,30,NÃO,0.0
258,276,SC,3100.0,3100.0,14,NÃO,0.0
259,277,PR,6800.0,6800.0,19,NÃO,0.0
260,278,RJ,22000.0,22000.0,25,NÃO,0.0
261,279,SP,4500.0,4500.0,48,NÃO,0.0
262,280,MG,9800.0,9800.0,120,NÃO,0.0
263,281,SC,15000.0,15000.0,15,NÃO,0.0
264,282,PR,6100.0,6100.0,80,NÃO,0.0
265,283,RJ,9000.0,9000.0,12,NÃO,0.0
266,284,SP,17500.0,17500.0,75,NÃO,0.0
267,285,MG,13000.0,13000.0,90,NÃO,0.0
268,286,SC,5300.0,5300.0,93,NÃO,0.0
269,287,PR,18300.0,18300.0,150,NÃO,0.0
270,289,SP,15000.0,15000.0,15,NÃO,0.0
271,290,RJ,6100.0,6100.0,80,NÃO,0.0
272,291,SP,9000.0,9000.0,12,NÃO,0.0
273,292,MG,17500.0,17500.0,75,NÃO,0.0
274,293,SC,13000.0,13000.0,90,NÃO,0.0
275,294,PR,5300.0,5300.0,93,NÃO,0.0
276,295,RJ,18300.0,18300.0,150,NÃO,0.0
277,296,SP,1800.0,1800.0,8,NÃO,0.0
278,297,MG,4800.0,4800.0,9,NÃO,0.0
279,298,SC,2200.0,2200.0,18,NÃO,0.0
280,299,PR,3900.0,3900.0,22,NÃO,0.0
281,300,RJ,11500.0,11500.0,30,NÃO,0.0
282,301,SP,3100.0,3100.0,14,NÃO,0.0
283,302,MG,6800.0,6800.0,19,NÃO,0.0
284,303,SC,1800.0,1800.0,8,NÃO,0.0
285,304,PR,4800.0,4800.0,9,NÃO,0.0
286,306,SP,3900.0,3900.0,22,NÃO,0.0
287,307,RJ,11500.0,11500.0,30,NÃO,0.0
288,308,SP,3100.0,3100.0,14,NÃO,0.0
289,309,MG,6800.0,6800.0,19,NÃO,0.0
290,310,SC,22000.0,22000.0,25,NÃO,0.0
291,311,PR,4500.0,4500.0,48,NÃO,0.0
292,312,RJ,9800.0,9800.0,120,NÃO,0.0
293,313,SP,15000.0,15000.0,15,NÃO,0.0
294,314,MG,6100.0,6100.0,80,NÃO,0.0
295,315,SC,9000.0,9000.0,12,NÃO,0.0
296,316,PR,17500.0,17500.0,75,NÃO,0.0
297,317,RJ,13000.0,13000.0,90,NÃO,0.0
298,318,SP,5300.0,5300.0,93,NÃO,0.0
299,319,MG,18300.0,18300.0,150,NÃO,0.0
300,320,SC,1800.0,1800.0,8,NÃO,0.0
301,321,PR,15000.0,15000.0,15,NÃO,0.0
302,323,SP,9000.0,9000.0,12,NÃO,0.0
303,324,RJ,17500.0,17500.0,75,NÃO,0.0
304,325,SP,13000.0,13000.0,90,NÃO,0.0
305,326,MG,5300.0,5300.0,93,NÃO,0.0
306,327,SC,18300.0,18300.0,150,NÃO,0.0
307,328,PR,1800.0,1800.0,8,NÃO,0.0
308,329,RJ,4800.0,4800.0,9,NÃO,0.0
309,330,SP,2200.0,2200.0,18,NÃO,0.0
310,331,MG,3900.0,3900.0,22,NÃO,0.0
311,332,SC,11500.0,11500.0,30,NÃO,0.0
312,333,PR,3100.0,3100.0,14,NÃO,0.0
313,334,RJ,6800.0,6800.0,19,NÃO,0.0
314,335,SP,1800.0,1800.0,8,NÃO,0.0
315,336,MG,4800.0,4800.0,9,NÃO,0.0
316,337,SC,2200.0,2200.0,18,NÃO,0.0
317,338,PR,3900.0,3900.0,22,NÃO,0.0
318,339,RJ,11500.0,11500.0,30,NÃO,0.0
319,340,SP,3100.0,3100.0,14,NÃO,0.0
320,341,RJ,6800.0,6800.0,19,NÃO,0.0
321,342,SP,22000.0,22000.0,25,NÃO,0.0
322,343,MG,4500.0,4500.0,48,NÃO,0.0
323,344,SC,9800.0,9800.0,120,NÃO,0.0
324,345,PR,15000.0,15000.0,15,NÃO,0.0
325,346,RJ,6100.0,6100.0,80,NÃO,0.0
326,347,SP,9000.0,9000.0,12,NÃO,0.0
327,349,SC,13000.0,13000.0,90,NÃO,0.0
328,350,PR,5300.0,5300.0,93,NÃO,0.0
329,351,RJ,18300.0,18300.0,150,NÃO,0.0
330,352,SP,1800.0,1800.0,8,NÃO,0.0
331,353,MG,1800.0,1800.0,8,NÃO,0.0
332,354,SC,4800.0,4800.0,9,NÃO,0.0
333,355,PR,2200.0,2200.0,18,NÃO,0.0
334,356,RJ,3900.0,3900.0,22,NÃO,0.0
335,357,SP,11500.0,11500.0,30,NÃO,0.0
336,358,RJ,3100.0,3100.0,14,NÃO,0.0
337,359,SP,6800.0,6800.0,19,NÃO,0.0
338,360,MG,22000.0,22000.0,25,NÃO,0.0
339,361,SC,4500.0,4500.0,48,NÃO,0.0
340,362,PR,9800.0,9800.0,120,NÃO,0.0
341,363,RJ,15000.0,15000.0,15,NÃO,0.0
342,364,SP,6100.0,6100.0,80,NÃO,0.0
343,366,SC,17500.0,17500.0,75,NÃO,0.0
344,367,PR,13000.0,13000.0,90,NÃO,0.0
345,368,RJ,5300.0,5300.0,93,NÃO,0.0
346,369,SP,18300.0,18300.0,150,NÃO,0.0
347,370,MG,1800.0,1800.0,8,NÃO,0.0
348,371,SC,4800.0,4800.0,9,NÃO,0.0
349,372,PR,2200.0,2200.0,18,NÃO,0.0
350,373,RJ,3900.0,3900.0,22,NÃO,0.0
351,374,SP,11500.0,11500.0,30,NÃO,0.0
352,375,RJ,3100.0,3100.0,14,NÃO,0.0
353,376,SP,1800.0,1800.0,8,NÃO,0.0
354,377,MG,4800.0,4800.0,9,NÃO,0.0
355,378,SC,2200.0,2200.0,18,NÃO,0.0
356,379,PR,3900.0,3900.0,22,NÃO,0.0
357,380,RJ,11500.0,11500.0,30,NÃO,0.0
358,381,SP,3100.0,3100.0,14,NÃO,0.0
359,383,SC,22000.0,22000.0,25,NÃO,0.0
360,384,PR,4500.0,4500.0,48,NÃO,0.0
361,385,RJ,9800.0,9800.0,120,NÃO,0.0
362,386,SP,15000.0,15000.0,15,NÃO,0.0
363,387,MG,6100.0,6100.0,80,NÃO,0.0
364,388,SC,9000.0,9000.0,12,NÃO,0.0
365,389,PR,17500.0,17500.0,75,NÃO,0.0
366,390,RJ,13000.0,13000.0,90,NÃO,0.0
367,391,SP,5300.0,5300.0,93,NÃO,0.0
368,392,RJ,18300.0,18300.0,150,NÃO,0.0
369,393,SP,1800.0,1800.0,8,NÃO,0.0
370,394,MG,4800.0,4800.0,9,NÃO,0.0
371,395,SC,2200.0,2200.0,18,NÃO,0.0
372,396,PR,3900.0,3900.0,22,NÃO,0.0
373,397,RJ,11500.0,11500.0,30,NÃO,0.0
374,398,SP,3100.0,3100.0,14,NÃO,0.0
375,400,SC,4800.0,4800.0,9,NÃO,0.0
376,401,PR,2200.0,2200.0,18,NÃO,0.0
377,402,RJ,3900.0,3900.0,22,NÃO,0.0
378,403,SP,11500.0,11500.0,30,NÃO,0.0
379,404,MG,3100.0,3100.0,14,NÃO,0.0
380,405,SC,6800.0,6800.0,19,NÃO,0.0
381,406,PR,22000.0,22000.0,25,NÃO,0.0
382,407,RJ,4500.0,4500.0,48,NÃO,0.0
383,408,SP,9800.0,9800.0,120,NÃO,0.0
384,409,RJ,15000.0,15000.0,15,NÃO,0.0
385,410,SP,6100.0,6100.0,80,NÃO,0.0
386,411,MG,9000.0,9000.0,12,NÃO,0.0
387,412,SC,17500.0,17500.0,75,NÃO,0.0
388,413,PR,13000.0,13000.0,90,NÃO,0.0
389,414,RJ,5300.0,5300.0,93,NÃO,0.0
390,415,SP,18300.0,18300.0,150,NÃO,0.0
391,416,MG,1800.0,1800.0,8,NÃO,0.0
392,417,SC,4800.0,4800.0,9,NÃO,0.0
393,418,PR,2200.0,2200.0,18,NÃO,0.0
394,419,RJ,3900.0,3900.0,22,NÃO,0.0
395,420,SP,11500.0,11500.0,30,NÃO,0.0
396,421,MG,3100.0,3100.0,14,NÃO,0.0
397,422,SC,1800.0,1800.0,8,NÃO,0.0
398,423,PR,4800.0,4800.0,9,NÃO,0.0
399,424,RJ,2200.0,2200.0,18,NÃO,0.0
400,426,RJ,11500.0,11500.0,30,NÃO,0.0
401,427,SP,3100.0,3100.0,14,NÃO,0.0
402,428,MG,6800.0,6800.0,19,NÃO,0.0
403,429,SC,22000.0,22000.0,25,NÃO,0.0
404,430,PR,4500.0,4500.0,48,NÃO,0.0
405,431,RJ,9800.0,9800.0,120,NÃO,0.0
406,432,SP,15000.0,15000.0,15,NÃO,0.0
407,433,MG,6100.0,6100.0,80,NÃO,0.0
408,434,SC,9000.0,9000.0,12,NÃO,0.0
409,435,PR,17500.0,17500.0,75,NÃO,0.0
410,436,RJ,13000.0,13000.0,90,NÃO,0.0
411,437,SP,5300.0,5300.0,93,NÃO,0.0
412,438,MG,18300.0,18300.0,150,NÃO,0.0
413,439,SC,1800.0,1800.0,8,NÃO,0.0
414,440,PR,4800.0,4800.0,9,NÃO,0.0
415,441,RJ,2200.0,2200.0,18,NÃO,0.0
416,443,RJ,11500.0,11500.0,30,NÃO,0.0
417,444,SP,3100.0,3100.0,14,NÃO,0.0
418,445,MG,1800.0,1800.0,8,NÃO,0.0
419,446,SC,4800.0,4800.0,9,NÃO,0.0
420,447,PR,2200.0,2200.0,18,NÃO,0.0
421,448,RJ,3900.0,3900.0,22,NÃO,0.0
422,449,SP,11500.0,11500.0,30,NÃO,0.0
423,450,MG,3100.0,3100.0,14,NÃO,0.0
424,451,SC,6800.0,6800.0,19,NÃO,0.0
425,452,PR,22000.0,22000.0,25,NÃO,0.0
426,453,RJ,4500.0,4500.0,48,NÃO,0.0
427,454,SP,9800.0,9800.0,120,NÃO,0.0
428,455,MG,15000.0,15000.0,15,NÃO,0.0
429,456,SC,6100.0,6100.0,80,NÃO,0.0
430,457,PR,9000.0,9000.0,12,NÃO,0.0
431,458,RJ,17500.0,17500.0,75,NÃO,0.0
432,460,RJ,5300.0,5300.0,93,NÃO,0.0
433,461,SP,18300.0,18300.0,150,NÃO,0.0
434,462,MG,1800.0,1800.0,8,NÃO,0.0
435,463,SC,4800.0,4800.0,9,NÃO,0.0
436,464,PR,2200.0,2200.0,18,NÃO,0.0
437,465,RJ,3900.0,3900.0,22,NÃO,0.0
438,466,SP,11500.0,11500.0,30,NÃO,0.0
439,467,MG,3100.0,3100.0,14,NÃO,0.0
440,468,SC,1800.0,1800.0,8,NÃO,0.0
441,469,PR,4800.0,4800.0,9,NÃO,0.0
442,470,RJ,2200.0,2200.0,18,NÃO,0.0
443,471,SP,3900.0,3900.0,22,NÃO,0.0
444,472,MG,11500.0,11500.0,30,NÃO,0.0
445,473,SC,3100.0,3100.0,14,NÃO,0.0
446,474,PR,6800.0,6800.0,19,NÃO,0.0
447,475,RJ,22000.0,22000.0,25,NÃO,0.0
448,477,RJ,9800.0,9800.0,120,NÃO,0.0
449,478,SP,15000.0,15000.0,15,NÃO,0.0
450,479,MG,6100.0,6100.0,80,NÃO,0.0
451,480,SC,9000.0,9000.0,12,NÃO,0.0
452,481,PR,17500.0,17500.0,75,NÃO,0.0
453,482,RJ,13000.0,13000.0,90,NÃO,0.0
454,483,SP,5300.0,5300.0,93,NÃO,0.0
455,484,MG,18300.0,18300.0,150,NÃO,0.0
456,485,SC,1800.0,1800.0,8,NÃO,0.0
457,486,PR,4800.0,4800.0,9,NÃO,0.0
458,487,RJ,2200.0,2200.0,18,NÃO,0.0
459,488,SP,3900.0,3900.0,22,NÃO,0.0
460,489,MG,11500.0,11500.0,30,NÃO,0.0
461,490,SC,3100.0,3100.0,14,NÃO,0.0
462,491,PR,1800.0,1800.0,8,NÃO,0.0
463,492,RJ,4800.0,4800.0,9,NÃO,0.0
464,493,SP,2200.0,2200.0,18,NÃO,0.0
465,494,RJ,3900.0,3900.0,22,NÃO,0.0
466,495,SP,11500.0,11500.0,30,NÃO,0.0
467,496,MG,3100.0,3100.0,14,NÃO,0.0
468,497,SC,6800.0,6800.0,19,NÃO,0.0
469,498,PR,22000.0,22000.0,25,NÃO,0.0
470,499,RJ,4500.0,4500.0,48,NÃO,0.0
471,500,SP,9800.0,9800.0,120,NÃO,0.0
472,501,MG,15000.0,15000.0,15,NÃO,0.0
473,503,PR,9000.0,9000.0,12,NÃO,0.0
474,504,RJ,17500.0,17500.0,75,NÃO,0.0
475,505,SP,13000.0,13000.0,90,NÃO,0.0
476,506,MG,5300.0,5300.0,93,NÃO,0.0
477,507,SC,18300.0,18300.0,150,NÃO,0.0
478,508,PR,1800.0,1800.0,8,NÃO,0.0
479,509,RJ,4800.0,4800.0,9,NÃO,0.0
480,510,SP,2200.0,2200.0,18,NÃO,0.0
481,511,RJ,3900.0,3900.0,22,NÃO,0.0
482,512,RJ,11500.0,11500.0,30,NÃO,0.0
483,513,PR,3100.0,3100.0,14,NÃO,0.0
484,514,RJ,1800.0,1800.0,8,NÃO,0.0
485,515,SP,4800.0,4800.0,9,NÃO,0.0
486,516,RJ,2200.0,2200.0,18,NÃO,0.0
487,517,RJ,3900.0,3900.0,22,NÃO,0.0
488,518,PR,11500.0,11500.0,30,NÃO,0.0
