,CODIGO_CLIENTE,UF,ULTIMO_SALARIO,MEDIA_SALARIO_ZIP,TEMPO_ULTIMO_EMPREGO_MESES,RECOMENDADO,VLR_RECOM
138,879,MG,4800.0,6100.0,9,NÃO,1300.0
139,884,MG,6800.0,6100.0,19,NÃO,-700.0
140,891,MG,6800.0,6100.0,19,NÃO,-700.0
141,896,MG,6100.0,6100.0,80,NÃO,0.0
142,901,MG,18300.0,6100.0,150,NÃO,-12200.0
143,908,MG,5300.0,6100.0,93,SIM,800.0
144,913,MG,3900.0,6100.0,22,SIM,2200.0
145,918,MG,4800.0,6100.0,9,NÃO,1300.0
146,925,MG,4500.0,6100.0,48,SIM,1600.0
147,935,MG,1800.0,6100.0,8,NÃO,4300.0
148,942,MG,22000.0,6100.0,25,NÃO,-15900.0
149,952,MG,1800.0,6100.0,8,NÃO,4300.0
150,959,MG,4800.0,6100.0,9,NÃO,1300.0
151,969,MG,6100.0,6100.0,80,NÃO,0.0
152,976,MG,4800.0,6100.0,9,NÃO,1300.0
153,986,MG,3100.0,6100.0,14,SIM,3000.0
154,993,MG,9000.0,6100.0,12,NÃO,-2900.0
155,998,MG,1800.0,6100.0,8,NÃO,4300.0
156,1003,MG,3100.0,6100.0,14,SIM,3000.0
157,1010,MG,6800.0,6100.0,19,NÃO,-700.0
158,1015,MG,6100.0,6100.0,80,NÃO,0.0
159,1020,MG,18300.0,6100.0,150,NÃO,-12200.0
160,1027,MG,1800.0,6100.0,8,NÃO,4300.0
161,1032,MG,3100.0,6100.0,14,SIM,3000.0
162,1037,MG,15000.0,6100.0,15,NÃO,-8900.0
163,1044,MG,1800.0,6100.0,8,NÃO,4300.0
164,1049,MG,3100.0,6100.0,14,SIM,3000.0
165,1054,MG,11500.0,6100.0,30,NÃO,-5400.0
166,1061,MG,6100.0,6100.0,80,NÃO,0.0
167,1066,MG,18300.0,6100.0,150,NÃO,-12200.0
168,1071,MG,11500.0,6100.0,30,NÃO,-5400.0
169,1078,MG,3100.0,6100.0,14,SIM,3000.0
170,1083,MG,15000.0,6100.0,15,NÃO,-8900.0
171,1088,MG,5300.0,6100.0,93,SIM,800.0
172,1166,MG,4800.0,6100.0,9,NÃO,1300.0
173,1171,MG,6800.0,6100.0,19,NÃO,-700.0
174,1176,MG,6100.0,6100.0,80,NÃO,0.0
175,1183,MG,4800.0,6100.0,9,NÃO,1300.0
176,1188,MG,6800.0,6100.0,19,NÃO,-700.0
177,1193,MG,6100.0,6100.0,80,NÃO,0.0
178,1200,MG,4800.0,6100.0,9,NÃO,1300.0
179,1205,MG,6800.0,6100.0,19,NÃO,-700.0
180,1210,MG,6100.0,6100.0,80,NÃO,0.0
181,1217,MG,4800.0,6100.0,9,NÃO,1300.0
182,1222,MG,6800.0,6100.0,19,NÃO,-700.0
183,1227,MG,6100.0,6100.0,80,NÃO,0.0
184,1234,MG,4800.0,6100.0,9,NÃO,1300.0
185,1239,MG,6800.0,6100.0,19,NÃO,-700.0
186,1244,MG,6100.0,6100.0,80,NÃO,0.0
187,1251,MG,4800.0,6100.0,9,NÃO,1300.0
188,1256,MG,6800.0,6100.0,19,NÃO,-700.0
189,1261,MG,6100.0,6100.0,80,NÃO,0.0
190,1268,MG,4800.0,6100.0,9,NÃO,1300.0
191,1273,MG,6800.0,6100.0,19,NÃO,-700.0
192,1278,MG,6100.0,6100.0,80,NÃO,0.0
193,1285,MG,4800.0,6100.0,9,NÃO,1300.0
194,1290,MG,6800.0,6100.0,19,NÃO,-700.0
195,1295,MG,6100.0,6100.0,80,NÃO,0.0
196,1302,MG,4800.0,6100.0,9,NÃO,1300.0
197,1307,MG,6800.0,6100.0,19,NÃO,-700.0
198,1312,MG,6100.0,6100.0,80,NÃO,0.0
199,1319,MG,4800.0,6100.0,9,NÃO,1300.0
200,1324,MG,6800.0,6100.0,19,NÃO,-700.0
201,1329,MG,11500.0,6100.0,30,NÃO,-5400.0
202,1336,MG,6100.0,6100.0,80,NÃO,0.0
203,1341,MG,18300.0,6100.0,150,NÃO,-12200.0
204,1346,MG,11500.0,6100.0,30,NÃO,-5400.0
205,1353,MG,11500.0,6100.0,30,NÃO,-5400.0
206,1358,MG,9800.0,6100.0,120,NÃO,-3700.0
207,1363,MG,13000.0,6100.0,90,NÃO,-6900.0
208,1370,MG,11500.0,6100.0,30,NÃO,-5400.0
209,1375,MG,2200.0,6100.0,18,SIM,3900.0
210,1380,MG,22000.0,6100.0,25,NÃO,-15900.0
211,1387,MG,13000.0,6100.0,90,NÃO,-6900.0
212,1392,MG,2200.0,6100.0,18,SIM,3900.0
213,1397,MG,1800.0,6100.0,8,NÃO,4300.0
214,1404,MG,22000.0,6100.0,25,NÃO,-15900.0
215,1409,MG,9000.0,6100.0,12,NÃO,-2900.0
216,1414,MG,1800.0,6100.0,8,NÃO,4300.0
217,1422,MG,6100.0,6100.0,80,NÃO,0.0
218,1427,MG,18300.0,6100.0,150,NÃO,-12200.0
219,1432,MG,11500.0,6100.0,30,NÃO,-5400.0
220,1439,MG,11500.0,6100.0,30,NÃO,-5400.0
221,1444,MG,9800.0,6100.0,120,NÃO,-3700.0
222,1449,MG,13000.0,6100.0,90,NÃO,-6900.0
223,1456,MG,17500.0,6100.0,75,NÃO,-11400.0
224,1461,MG,4800.0,6100.0,9,NÃO,1300.0
225,1466,MG,6800.0,6100.0,19,NÃO,-700.0
226,1473,MG,6800.0,6100.0,19,NÃO,-700.0
227,1478,MG,6100.0,6100.0,80,NÃO,0.0
228,1483,MG,18300.0,6100.0,150,NÃO,-12200.0
229,1490,MG,5300.0,6100.0,93,SIM,800.0
230,1495,MG,3900.0,6100.0,22,SIM,2200.0
231,1500,MG,4800.0,6100.0,9,NÃO,1300.0
232,1507,MG,4500.0,6100.0,48,SIM,1600.0
233,1517,MG,1800.0,6100.0,8,NÃO,4300.0
234,1524,MG,22000.0,6100.0,25,NÃO,-15900.0
235,1534,MG,1800.0,6100.0,8,NÃO,4300.0
236,1541,MG,4800.0,6100.0,9,NÃO,1300.0
237,1551,MG,6100.0,6100.0,80,NÃO,0.0
238,1558,MG,4800.0,6100.0,9,NÃO,1300.0
239,1568,MG,3100.0,6100.0,14,SIM,3000.0
240,1575,MG,9000.0,6100.0,12,NÃO,-2900.0
241,1580,MG,1800.0,6100.0,8,NÃO,4300.0
242,1585,MG,3100.0,6100.0,14,SIM,3000.0
243,1592,MG,6800.0,6100.0,19,NÃO,-700.0
244,1597,MG,6100.0,6100.0,80,NÃO,0.0
245,1602,MG,18300.0,6100.0,150,NÃO,-12200.0
246,1609,MG,1800.0,6100.0,8,NÃO,4300.0
247,1614,MG,3100.0,6100.0,14,SIM,3000.0
248,1619,MG,15000.0,6100.0,15,NÃO,-8900.0
249,1626,MG,1800.0,6100.0,8,NÃO,4300.0
250,1631,MG,3100.0,6100.0,14,SIM,3000.0
251,1636,MG,11500.0,6100.0,30,NÃO,-5400.0
252,1643,MG,6100.0,6100.0,80,NÃO,0.0
253,1648,MG,18300.0,6100.0,150,NÃO,-12200.0
254,1653,MG,11500.0,6100.0,30,NÃO,-5400.0
255,1660,MG,3100.0,6100.0,14,SIM,3000.0
256,1665,MG,15000.0,6100.0,15,NÃO,-8900.0
257,1670,MG,5300.0,6100.0,93,SIM,800.0
258,1748,MG,4800.0,6100.0,9,NÃO,1300.0
259,1753,MG,6800.0,6100.0,19,NÃO,-700.0
260,1758,MG,6100.0,6100.0,80,NÃO,0.0
261,1765,MG,4800.0,6100.0,9,NÃO,1300.0
262,1770,MG,6800.0,6100.0,19,NÃO,-700.0
263,1775,MG,6100.0,6100.0,80,NÃO,0.0
264,1782,MG,4800.0,6100.0,9,NÃO,1300.0
265,1787,MG,6800.0,6100.0,19,NÃO,-700.0
266,1792,MG,6100.0,6100.0,80,NÃO,0.0
267,1799,MG,4800.0,6100.0,9,NÃO,1300.0
268,1804,MG,6800.0,6100.0,19,NÃO,-700.0
269,1809,MG,6100.0,6100.0,80,NÃO,0.0
270,1816,MG,4800.0,6100.0,9,NÃO,1300.0
271,1821,MG,6800.0,6100.0,19,NÃO,-700.0
272,1826,MG,6100.0,6100.0,80,NÃO,0.0
273,1833,MG,4800.0,6100.0,9,NÃO,1300.0
274,1838,MG,6800.0,6100.0,19,NÃO,-700.0
275,1843,MG,6100.0,6100.0,80,NÃO,0.0
276,1850,MG,4800.0,6100.0,9,NÃO,1300.0
277,1855,MG,6800.0,6100.0,19,NÃO,-700.0
278,1860,MG,6100.0,6100.0,80,NÃO,0.0
279,1867,MG,4800.0,6100.0,9,NÃO,1300.0
280,1872,MG,6800.0,6100.0,19,NÃO,-700.0
281,1877,MG,6100.0,6100.0,80,NÃO,0.0
282,1884,MG,4800.0,6100.0,9,NÃO,1300.0
283,1889,MG,6800.0,6100.0,19,NÃO,-700.0
284,1894,MG,6100.0,6100.0,80,NÃO,0.0
285,1901,MG,4800.0,6100.0,9,NÃO,1300.0
286,1906,MG,6800.0,6100.0,19,NÃO,-700.0
287,1911,MG,11500.0,6100.0,30,NÃO,-5400.0
288,1918,MG,6100.0,6100.0,80,NÃO,0.0
289,1923,MG,18300.0,6100.0,150,NÃO,-12200.0
290,1928,MG,11500.0,6100.0,30,NÃO,-5400.0
291,1935,MG,11500.0,6100.0,30,NÃO,-5400.0
292,1940,MG,9800.0,6100.0,120,NÃO,-3700.0
293,1945,MG,13000.0,6100.0,90,NÃO,-6900.0
294,1952,MG,11500.0,6100.0,30,NÃO,-5400.0
295,1957,MG,2200.0,6100.0,18,SIM,3900.0
296,1962,MG,22000.0,6100.0,25,NÃO,-15900.0
297,1969,MG,13000.0,6100.0,90,NÃO,-6900.0
298,1974,MG,2200.0,6100.0,18,SIM,3900.0
299,1979,MG,1800.0,6100.0,8,NÃO,4300.0
300,1986,MG,22000.0,6100.0,25,NÃO,-15900.0
301,1991,MG,9000.0,6100.0,12,NÃO,-2900.0
302,1996,MG,1800.0,6100.0,8,NÃO,4300.0
303,2004,MG,6100.0,6100.0,80,NÃO,0.0
304,2009,MG,18300.0,6100.0,150,NÃO,-12200.0
305,2014,MG,11500.0,6100.0,30,NÃO,-5400.0
306,2021,MG,11500.0,6100.0,30,NÃO,-5400.0
307,2026,MG,9800.0,6100.0,120,NÃO,-3700.0
308,2031,MG,13000.0,6100.0,90,NÃO,-6900.0
309,2038,MG,17500.0,6100.0,75,NÃO,-11400.0
310,2043,MG,4800.0,6100.0,9,NÃO,1300.0
311,2048,MG,6800.0,6100.0,19,NÃO,-700.0
312,2055,MG,6800.0,6100.0,19,NÃO,-700.0
313,2060,MG,6100.0,6100.0,80,NÃO,0.0
314,2065,MG,18300.0,6100.0,150,NÃO,-12200.0
315,2072,MG,5300.0,6100.0,93,SIM,800.0
316,2077,MG,3900.0,6100.0,22,SIM,2200.0
317,2082,MG,4800.0,6100.0,9,NÃO,1300.0
318,2089,MG,4500.0,6100.0,48,SIM,1600.0
319,2099,MG,1800.0,6100.0,8,NÃO,4300.0
320,2106,MG,22000.0,6100.0,25,NÃO,-15900.0
321,2116,MG,1800.0,6100.0,8,NÃO,4300.0
322,2123,MG,4800.0,6100.0,9,NÃO,1300.0
323,2133,MG,6100.0,6100.0,80,NÃO,0.0
324,2140,MG,4800.0,6100.0,9,NÃO,1300.0
325,2150,MG,3100.0,6100.0,14,SIM,3000.0
326,2157,MG,9000.0,6100.0,12,NÃO,-2900.0
327,2162,MG,1800.0,6100.0,8,NÃO,4300.0
328,2167,MG,3100.0,6100.0,14,SIM,3000.0
329,2174,MG,6800.0,6100.0,19,NÃO,-700.0
330,2179,MG,6100.0,6100.0,80,NÃO,0.0
331,2184,MG,18300.0,6100.0,150,NÃO,-12200.0
332,2191,MG,1800.0,6100.0,8,NÃO,4300.0
333,2196,MG,3100.0,6100.0,14,SIM,3000.0
334,2201,MG,15000.0,6100.0,15,NÃO,-8900.0
335,2208,MG,1800.0,6100.0,8,NÃO,4300.0
336,2213,MG,3100.0,6100.0,14,SIM,3000.0
337,2218,MG,11500.0,6100.0,30,NÃO,-5400.0
338,2225,MG,6100.0,6100.0,80,NÃO,0.0
339,2230,MG,18300.0,6100.0,150,NÃO,-12200.0
340,2235,MG,11500.0,6100.0,30,NÃO,-5400.0
341,2242,MG,3100.0,6100.0,14,SIM,3000.0
342,2247,MG,15000.0,6100.0,15,NÃO,-8900.0
343,2252,MG,5300.0,6100.0,93,SIM,800.0
344,2330,MG,4800.0,6100.0,9,NÃO,1300.0
345,2335,MG,6800.0,6100.0,19,NÃO,-700.0
346,2340,MG,6100.0,6100.0,80,NÃO,0.0
347,2347,MG,4800.0,6100.0,9,NÃO,1300.0
348,2352,MG,6800.0,6100.0,19,NÃO,-700.0
349,2357,MG,6100.0,6100.0,80,NÃO,0.0
350,2364,MG,4800.0,6100.0,9,NÃO,1300.0
351,2369,MG,6800.0,6100.0,19,NÃO,-700.0
352,2374,MG,6100.0,6100.0,80,NÃO,0.0
353,2381,MG,4800.0,6100.0,9,NÃO,1300.0
354,2386,MG,6800.0,6100.0,19,NÃO,-700.0
355,2391,MG,6100.0,6100.0,80,NÃO,0.0
356,2398,MG,4800.0,6100.0,9,NÃO,1300.0
357,2403,MG,6800.0,6100.0,19,NÃO,-700.0
358,2408,MG,6100.0,6100.0,80,NÃO,0.0
359,2415,MG,4800.0,6100.0,9,NÃO,1300.0
360,2420,MG,6800.0,6100.0,19,NÃO,-700.0
361,2425,MG,6100.0,6100.0,80,NÃO,0.0
362,2432,MG,4800.0,6100.0,9,NÃO,1300.0
363,2437,MG,6800.0,6100.0,19,NÃO,-700.0
364,2442,MG,6100.0,6100.0,80,NÃO,0.0
365,2449,MG,4800.0,6100.0,9,NÃO,1300.0
366,2454,MG,6800.0,6100.0,19,NÃO,-700.0
367,2459,MG,6100.0,6100.0,80,NÃO,0.0
368,2466,MG,4800.0,6100.0,9,NÃO,1300.0
369,2471,MG,6800.0,6100.0,19,NÃO,-700.0
370,2476,MG,6100.0,6100.0,80,NÃO,0.0
371,2483,MG,4800.0,6100.0,9,NÃO,1300.0
372,2488,MG,6800.0,6100.0,19,NÃO,-700.0
373,2493,MG,11500.0,6100.0,30,NÃO,-5400.0
374,2500,MG,6100.0,6100.0,80,NÃO,0.0
375,2505,MG,18300.0,6100.0,150,NÃO,-12200.0
376,2510,MG,11500.0,6100.0,30,NÃO,-5400.0
377,2517,MG,11500.0,6100.0,30,NÃO,-5400.0
378,2522,MG,9800.0,6100.0,120,NÃO,-3700.0
379,2527,MG,13000.0,6100.0,90,NÃO,-6900.0
380,2534,MG,11500.0,6100.0,30,NÃO,-5400.0
381,2539,MG,2200.0,6100.0,18,SIM,3900.0
382,2544,MG,22000.0,6100.0,25,NÃO,-15900.0
383,2551,MG,13000.0,6100.0,90,NÃO,-6900.0
384,2556,MG,2200.0,6100.0,18,SIM,3900.0
385,2561,MG,1800.0,6100.0,8,NÃO,4300.0
386,2568,MG,22000.0,6100.0,25,NÃO,-15900.0
387,2573,MG,9000.0,6100.0,12,NÃO,-2900.0
388,2578,MG,1800.0,6100.0,8,NÃO,4300.0
389,2586,MG,6100.0,6100.0,80,NÃO,0.0
390,2591,MG,18300.0,6100.0,150,NÃO,-12200.0
391,2596,MG,11500.0,6100.0,30,NÃO,-5400.0
392,2603,MG,11500.0,6100.0,30,NÃO,-5400.0
393,2608,MG,9800.0,6100.0,120,NÃO,-3700.0
394,2613,MG,13000.0,6100.0,90,NÃO,-6900.0
395,2620,MG,17500.0,6100.0,75,NÃO,-11400.0
396,2625,MG,4800.0,6100.0,9,NÃO,1300.0
397,2630,MG,6800.0,6100.0,19,NÃO,-700.0
398,2637,MG,6800.0,6100.0,19,NÃO,-700.0
399,2642,MG,6100.0,6100.0,80,NÃO,0.0
400,2647,MG,18300.0,6100.0,150,NÃO,-12200.0
401,2654,MG,5300.0,6100.0,93,SIM,800.0
402,2659,MG,3900.0,6100.0,22,SIM,2200.0
403,2664,MG,4800.0,6100.0,9,NÃO,1300.0
404,2671,MG,4500.0,6100.0,48,SIM,1600.0
405,2681,MG,1800.0,6100.0,8,NÃO,4300.0
406,2688,MG,22000.0,6100.0,25,NÃO,-15900.0
407,2698,MG,1800.0,6100.0,8,NÃO,4300.0
408,2705,MG,4800.0,6100.0,9,NÃO,1300.0
409,2715,MG,6100.0,6100.0,80,NÃO,0.0
410,2722,MG,4800.0,6100.0,9,NÃO,1300.0
411,2732,MG,3100.0,6100.0,14,SIM,3000.0
412,2739,MG,9000.0,6100.0,12,NÃO,-2900.0
413,2744,MG,1800.0,6100.0,8,NÃO,4300.0
414,2749,MG,3100.0,6100.0,14,SIM,3000.0
415,2756,MG,6800.0,6100.0,19,NÃO,-700.0
416,2761,MG,6100.0,6100.0,80,NÃO,0.0
417,2766,MG,18300.0,6100.0,150,NÃO,-12200.0
418,2773,MG,1800.0,6100.0,8,NÃO,4300.0
419,2778,MG,3100.0,6100.0,14,SIM,3000.0
420,2783,MG,15000.0,6100.0,15,NÃO,-8900.0
421,2790,MG,1800.0,6100.0,8,NÃO,4300.0
422,2795,MG,3100.0,6100.0,14,SIM,3000.0
423,2800,MG,11500.0,6100.0,30,NÃO,-5400.0
424,2807,MG,6100.0,6100.0,80,NÃO,0.0
425,2812,MG,18300.0,6100.0,150,NÃO,-12200.0
426,2817,MG,11500.0,6100.0,30,NÃO,-5400.0
427,2824,MG,3100.0,6100.0,14,SIM,3000.0
428,2829,MG,15000.0,6100.0,15,NÃO,-8900.0
429,2834,MG,5300.0,6100.0,93,SIM,800.0
430,2912,MG,4800.0,6100.0,9,NÃO,1300.0
431,2917,MG,6800.0,6100.0,19,NÃO,-700.0
432,2922,MG,6100.0,6100.0,80,NÃO,0.0
433,2929,MG,4800.0,6100.0,9,NÃO,1300.0
434,2934,MG,6800.0,6100.0,19,NÃO,-700.0
435,2939,MG,6100.0,6100.0,80,NÃO,0.0
436,2946,MG,4800.0,6100.0,9,NÃO,1300.0
437,2951,MG,6800.0,6100.0,19,NÃO,-700.0
438,2956,MG,6100.0,6100.0,80,NÃO,0.0
439,2963,MG,4800.0,6100.0,9,NÃO,1300.0
440,2968,MG,6800.0,6100.0,19,NÃO,-700.0
441,2973,MG,6100.0,6100.0,80,NÃO,0.0
442,2980,MG,4800.0,6100.0,9,NÃO,1300.0
443,2985,MG,6800.0,6100.0,19,NÃO,-700.0
444,2990,MG,6100.0,6100.0,80,NÃO,0.0
445,2997,MG,4800.0,6100.0,9,NÃO,1300.0
446,3002,MG,6800.0,6100.0,19,NÃO,-700.0
447,3007,MG,6100.0,6100.0,80,NÃO,0.0
448,3014,MG,4800.0,6100.0,9,NÃO,1300.0
449,3019,MG,6800.0,6100.0,19,NÃO,-700.0
450,3024,MG,6100.0,6100.0,80,NÃO,0.0
451,3031,MG,4800.0,6100.0,9,NÃO,1300.0
452,3036,MG,6800.0,6100.0,19,NÃO,-700.0
453,3041,MG,6100.0,6100.0,80,NÃO,0.0
454,3048,MG,4800.0,6100.0,9,NÃO,1300.0
455,3053,MG,6800.0,6100.0,19,NÃO,-700.0
456,3058,MG,6100.0,6100.0,80,NÃO,0.0
457,3065,MG,4800.0,6100.0,9,NÃO,1300.0
458,3070,MG,6800.0,6100.0,19,NÃO,-700.0
459,3075,MG,11500.0,6100.0,30,NÃO,-5400.0
460,3082,MG,6100.0,6100.0,80,NÃO,0.0
461,3087,MG,18300.0,6100.0,150,NÃO,-12200.0
462,3092,MG,11500.0,6100.0,30,NÃO,-5400.0
463,3099,MG,11500.0,6100.0,30,NÃO,-5400.0
464,3104,MG,9800.0,6100.0,120,NÃO,-3700.0
465,3109,MG,13000.0,6100.0,90,NÃO,-6900.0
