,CODIGO_CLIENTE,UF,CLASS_SCORE,IDADE,ULTIMO_SALARIO,MEDIAN_RENDA,SELL_CRED,PROFIT_CRED
94,515,SP,Bom,55,4800.0,4500.0,5280.0,480.0
95,517,RJ,Bom,62,3900.0,4500.0,5070.0,1170.0
96,522,RJ,Bom,27,4500.0,4500.0,5850.0,1350.0
97,532,RJ,Bom,55,4800.0,4500.0,5280.0,480.0
98,534,RJ,Bom,62,3900.0,4500.0,5070.0,1170.0
99,538,PR,Bom,25,4800.0,4500.0,5280.0,480.0
100,540,SP,Bom,28,3900.0,4500.0,5070.0,1170.0
101,545,RJ,Bom,45,4500.0,4500.0,5850.0,1350.0
102,555,RJ,Bom,25,4800.0,4500.0,5280.0,480.0
103,557,SP,Bom,28,3900.0,4500.0,5070.0,1170.0
104,561,RJ,Bom,42,4800.0,4500.0,5280.0,480.0
105,563,RJ,Bom,48,3900.0,4500.0,5070.0,1170.0
106,568,RJ,Bom,51,4500.0,4500.0,5850.0,1350.0
107,578,PR,Bom,51,4800.0,4500.0,5280.0,480.0
108,580,RJ,Bom,51,3900.0,4500.0,5070.0,1170.0
109,584,MG,Bom,23,4800.0,4500.0,5280.0,480.0
110,586,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
111,591,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
112,601,MG,Bom,23,4800.0,4500.0,5280.0,480.0
113,603,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
114,608,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
115,618,MG,Bom,23,4800.0,4500.0,5280.0,480.0
116,620,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
117,625,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
118,635,MG,Bom,23,4800.0,4500.0,5280.0,480.0
119,637,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
120,642,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
121,652,MG,Bom,23,4800.0,4500.0,5280.0,480.0
122,654,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
123,659,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
124,669,MG,Bom,23,4800.0,4500.0,5280.0,480.0
125,671,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
126,676,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
127,686,MG,Bom,23,4800.0,4500.0,5280.0,480.0
128,688,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
129,693,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
130,703,MG,Bom,23,4800.0,4500.0,5280.0,480.0
131,705,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
132,710,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
133,720,MG,Bom,23,4800.0,4500.0,5280.0,480.0
134,722,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
135,727,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
136,737,MG,Bom,23,4800.0,4500.0,5280.0,480.0
137,739,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
138,744,PR,Bom,42,4800.0,4500.0,5280.0,480.0
139,746,SP,Bom,48,3900.0,4500.0,5070.0,1170.0
140,751,SP,Bom,62,4500.0,4500.0,5850.0,1350.0
141,761,PR,Bom,42,4800.0,4500.0,5280.0,480.0
142,763,SP,Bom,48,3900.0,4500.0,5070.0,1170.0
143,768,SP,Bom,62,4800.0,4500.0,5280.0,480.0
144,775,SP,Bom,30,4500.0,4500.0,5850.0,1350.0
145,785,SP,Bom,62,4800.0,4500.0,5280.0,480.0
146,792,SP,Bom,30,4800.0,4500.0,5280.0,480.0
147,794,SC,Bom,35,3900.0,4500.0,5070.0,1170.0
148,799,SC,Bom,53,4500.0,4500.0,5850.0,1350.0
149,809,SP,Bom,30,4800.0,4500.0,5280.0,480.0
150,811,SC,Bom,35,3900.0,4500.0,5070.0,1170.0
151,816,SC,Bom,53,4800.0,4500.0,5280.0,480.0
152,818,RJ,Bom,57,3900.0,4500.0,5070.0,1170.0
153,823,SC,Bom,25,4500.0,4500.0,5850.0,1350.0
154,833,SC,Bom,53,4800.0,4500.0,5280.0,480.0
155,835,RJ,Bom,57,3900.0,4500.0,5070.0,1170.0
156,847,PR,Bom,51,4800.0,4500.0,5280.0,480.0
157,849,SP,Bom,55,3900.0,4500.0,5070.0,1170.0
158,854,SP,Bom,23,4800.0,4500.0,5280.0,480.0
159,856,SP,Bom,27,3900.0,4500.0,5070.0,1170.0
160,861,SP,Bom,42,4500.0,4500.0,5850.0,1350.0
161,879,MG,Bom,45,4800.0,4500.0,5280.0,480.0
162,881,PR,Bom,51,3900.0,4500.0,5070.0,1170.0
163,886,PR,Bom,65,4800.0,4500.0,5280.0,480.0
164,888,SP,Bom,23,3900.0,4500.0,5070.0,1170.0
165,893,PR,Bom,32,4500.0,4500.0,5850.0,1350.0
166,911,RJ,Bom,35,4800.0,4500.0,5280.0,480.0
167,913,MG,Bom,45,3900.0,4500.0,5070.0,1170.0
168,918,MG,Bom,30,4800.0,4500.0,5280.0,480.0
169,920,PR,Bom,35,3900.0,4500.0,5070.0,1170.0
170,925,MG,Bom,53,4500.0,4500.0,5850.0,1350.0
171,936,SC,Bom,32,4800.0,4500.0,5280.0,480.0
172,938,RJ,Bom,42,3900.0,4500.0,5070.0,1170.0
173,943,SC,Bom,55,4500.0,4500.0,5850.0,1350.0
174,953,SC,Bom,32,4800.0,4500.0,5280.0,480.0
175,955,RJ,Bom,42,3900.0,4500.0,5070.0,1170.0
176,959,MG,Bom,53,4800.0,4500.0,5280.0,480.0
177,961,PR,Bom,57,3900.0,4500.0,5070.0,1170.0
178,966,PR,Bom,25,4500.0,4500.0,5850.0,1350.0
179,976,MG,Bom,53,4800.0,4500.0,5280.0,480.0
180,978,PR,Bom,57,3900.0,4500.0,5070.0,1170.0
181,982,SC,Bom,23,4800.0,4500.0,5280.0,480.0
182,984,RJ,Bom,27,3900.0,4500.0,5070.0,1170.0
183,989,RJ,Bom,42,4500.0,4500.0,5850.0,1350.0
184,999,SC,Bom,45,4800.0,4500.0,5280.0,480.0
185,1001,RJ,Bom,51,3900.0,4500.0,5070.0,1170.0
186,1005,PR,Bom,62,4800.0,4500.0,5280.0,480.0
187,1012,PR,Bom,30,4500.0,4500.0,5850.0,1350.0
188,1022,PR,Bom,62,4800.0,4500.0,5280.0,480.0
189,1028,SC,Bom,28,4800.0,4500.0,5280.0,480.0
190,1030,RJ,Bom,32,3900.0,4500.0,5070.0,1170.0
191,1035,RJ,Bom,51,4500.0,4500.0,5850.0,1350.0
192,1045,SC,Bom,28,4800.0,4500.0,5280.0,480.0
193,1047,RJ,Bom,32,3900.0,4500.0,5070.0,1170.0
194,1051,PR,Bom,48,4800.0,4500.0,5280.0,480.0
195,1053,SP,Bom,53,3900.0,4500.0,5070.0,1170.0
196,1068,PR,Bom,48,4800.0,4500.0,5280.0,480.0
197,1070,SP,Bom,23,3900.0,4500.0,5070.0,1170.0
198,1074,RJ,Bom,35,4800.0,4500.0,5280.0,480.0
199,1076,RJ,Bom,45,3900.0,4500.0,5070.0,1170.0
200,1081,RJ,Bom,57,4500.0,4500.0,5850.0,1350.0
201,1091,RJ,Bom,35,4800.0,4500.0,5280.0,480.0
202,1093,RJ,Bom,45,3900.0,4500.0,5070.0,1170.0
203,1097,SP,Bom,55,4800.0,4500.0,5280.0,480.0
204,1099,RJ,Bom,62,3900.0,4500.0,5070.0,1170.0
205,1104,RJ,Bom,27,4500.0,4500.0,5850.0,1350.0
206,1114,RJ,Bom,55,4800.0,4500.0,5280.0,480.0
207,1116,RJ,Bom,62,3900.0,4500.0,5070.0,1170.0
208,1120,PR,Bom,25,4800.0,4500.0,5280.0,480.0
209,1122,SP,Bom,28,3900.0,4500.0,5070.0,1170.0
210,1127,RJ,Bom,45,4500.0,4500.0,5850.0,1350.0
211,1137,RJ,Bom,25,4800.0,4500.0,5280.0,480.0
212,1139,SP,Bom,28,3900.0,4500.0,5070.0,1170.0
213,1143,RJ,Bom,42,4800.0,4500.0,5280.0,480.0
214,1145,RJ,Bom,48,3900.0,4500.0,5070.0,1170.0
215,1150,RJ,Bom,51,4500.0,4500.0,5850.0,1350.0
216,1160,PR,Bom,51,4800.0,4500.0,5280.0,480.0
217,1162,RJ,Bom,51,3900.0,4500.0,5070.0,1170.0
218,1166,MG,Bom,23,4800.0,4500.0,5280.0,480.0
219,1168,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
220,1173,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
221,1183,MG,Bom,23,4800.0,4500.0,5280.0,480.0
222,1185,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
223,1190,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
224,1200,MG,Bom,23,4800.0,4500.0,5280.0,480.0
225,1202,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
226,1207,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
227,1217,MG,Bom,23,4800.0,4500.0,5280.0,480.0
228,1219,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
229,1224,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
230,1234,MG,Bom,23,4800.0,4500.0,5280.0,480.0
231,1236,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
232,1241,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
233,1251,MG,Bom,23,4800.0,4500.0,5280.0,480.0
234,1253,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
235,1258,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
236,1268,MG,Bom,23,4800.0,4500.0,5280.0,480.0
237,1270,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
238,1275,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
239,1285,MG,Bom,23,4800.0,4500.0,5280.0,480.0
240,1287,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
241,1292,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
242,1302,MG,Bom,23,4800.0,4500.0,5280.0,480.0
243,1304,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
244,1309,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
245,1319,MG,Bom,23,4800.0,4500.0,5280.0,480.0
246,1321,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
247,1326,PR,Bom,42,4800.0,4500.0,5280.0,480.0
248,1328,SP,Bom,48,3900.0,4500.0,5070.0,1170.0
249,1333,SP,Bom,62,4500.0,4500.0,5850.0,1350.0
250,1343,PR,Bom,42,4800.0,4500.0,5280.0,480.0
251,1345,SP,Bom,48,3900.0,4500.0,5070.0,1170.0
252,1350,SP,Bom,62,4800.0,4500.0,5280.0,480.0
253,1357,SP,Bom,30,4500.0,4500.0,5850.0,1350.0
254,1367,SP,Bom,62,4800.0,4500.0,5280.0,480.0
255,1374,SP,Bom,30,4800.0,4500.0,5280.0,480.0
256,1376,SC,Bom,35,3900.0,4500.0,5070.0,1170.0
257,1381,SC,Bom,53,4500.0,4500.0,5850.0,1350.0
258,1391,SP,Bom,30,4800.0,4500.0,5280.0,480.0
259,1393,SC,Bom,35,3900.0,4500.0,5070.0,1170.0
260,1398,SC,Bom,53,4800.0,4500.0,5280.0,480.0
261,1400,RJ,Bom,57,3900.0,4500.0,5070.0,1170.0
262,1405,SC,Bom,25,4500.0,4500.0,5850.0,1350.0
263,1415,SC,Bom,53,4800.0,4500.0,5280.0,480.0
264,1417,RJ,Bom,57,3900.0,4500.0,5070.0,1170.0
265,1429,PR,Bom,51,4800.0,4500.0,5280.0,480.0
266,1431,SP,Bom,55,3900.0,4500.0,5070.0,1170.0
267,1436,SP,Bom,23,4800.0,4500.0,5280.0,480.0
268,1438,SP,Bom,27,3900.0,4500.0,5070.0,1170.0
269,1443,SP,Bom,42,4500.0,4500.0,5850.0,1350.0
270,1461,MG,Bom,45,4800.0,4500.0,5280.0,480.0
271,1463,PR,Bom,51,3900.0,4500.0,5070.0,1170.0
272,1468,PR,Bom,65,4800.0,4500.0,5280.0,480.0
273,1470,SP,Bom,23,3900.0,4500.0,5070.0,1170.0
274,1475,PR,Bom,32,4500.0,4500.0,5850.0,1350.0
275,1493,RJ,Bom,35,4800.0,4500.0,5280.0,480.0
276,1495,MG,Bom,45,3900.0,4500.0,5070.0,1170.0
277,1500,MG,Bom,30,4800.0,4500.0,5280.0,480.0
278,1502,PR,Bom,35,3900.0,4500.0,5070.0,1170.0
279,1507,MG,Bom,53,4500.0,4500.0,5850.0,1350.0
280,1518,SC,Bom,32,4800.0,4500.0,5280.0,480.0
281,1520,RJ,Bom,42,3900.0,4500.0,5070.0,1170.0
282,1525,SC,Bom,55,4500.0,4500.0,5850.0,1350.0
283,1535,SC,Bom,32,4800.0,4500.0,5280.0,480.0
284,1537,RJ,Bom,42,3900.0,4500.0,5070.0,1170.0
285,1541,MG,Bom,53,4800.0,4500.0,5280.0,480.0
286,1543,PR,Bom,57,3900.0,4500.0,5070.0,1170.0
287,1548,PR,Bom,25,4500.0,4500.0,5850.0,1350.0
288,1558,MG,Bom,53,4800.0,4500.0,5280.0,480.0
289,1560,PR,Bom,57,3900.0,4500.0,5070.0,1170.0
290,1564,SC,Bom,23,4800.0,4500.0,5280.0,480.0
291,1566,RJ,Bom,27,3900.0,4500.0,5070.0,1170.0
292,1571,RJ,Bom,42,4500.0,4500.0,5850.0,1350.0
293,1581,SC,Bom,45,4800.0,4500.0,5280.0,480.0
294,1583,RJ,Bom,51,3900.0,4500.0,5070.0,1170.0
295,1587,PR,Bom,62,4800.0,4500.0,5280.0,480.0
296,1594,PR,Bom,30,4500.0,4500.0,5850.0,1350.0
297,1604,PR,Bom,62,4800.0,4500.0,5280.0,480.0
298,1610,SC,Bom,28,4800.0,4500.0,5280.0,480.0
299,1612,RJ,Bom,32,3900.0,4500.0,5070.0,1170.0
300,1617,RJ,Bom,51,4500.0,4500.0,5850.0,1350.0
301,1627,SC,Bom,28,4800.0,4500.0,5280.0,480.0
302,1629,RJ,Bom,32,3900.0,4500.0,5070.0,1170.0
303,1633,PR,Bom,48,4800.0,4500.0,5280.0,480.0
304,1635,SP,Bom,53,3900.0,4500.0,5070.0,1170.0
305,1650,PR,Bom,48,4800.0,4500.0,5280.0,480.0
306,1652,SP,Bom,23,3900.0,4500.0,5070.0,1170.0
307,1656,RJ,Bom,35,4800.0,4500.0,5280.0,480.0
308,1658,RJ,Bom,45,3900.0,4500.0,5070.0,1170.0
309,1663,RJ,Bom,57,4500.0,4500.0,5850.0,1350.0
310,1673,RJ,Bom,35,4800.0,4500.0,5280.0,480.0
311,1675,RJ,Bom,45,3900.0,4500.0,5070.0,1170.0
312,1679,SP,Bom,55,4800.0,4500.0,5280.0,480.0
313,1681,RJ,Bom,62,3900.0,4500.0,5070.0,1170.0
314,1686,RJ,Bom,27,4500.0,4500.0,5850.0,1350.0
315,1696,RJ,Bom,55,4800.0,4500.0,5280.0,480.0
316,1698,RJ,Bom,62,3900.0,4500.0,5070.0,1170.0
317,1702,PR,Bom,25,4800.0,4500.0,5280.0,480.0
318,1704,SP,Bom,28,3900.0,4500.0,5070.0,1170.0
319,1709,RJ,Bom,45,4500.0,4500.0,5850.0,1350.0
320,1719,RJ,Bom,25,4800.0,4500.0,5280.0,480.0
321,1721,SP,Bom,28,3900.0,4500.0,5070.0,1170.0
322,1725,RJ,Bom,42,4800.0,4500.0,5280.0,480.0
323,1727,RJ,Bom,48,3900.0,4500.0,5070.0,1170.0
324,1732,RJ,Bom,51,4500.0,4500.0,5850.0,1350.0
325,1742,PR,Bom,51,4800.0,4500.0,5280.0,480.0
326,1744,RJ,Bom,51,3900.0,4500.0,5070.0,1170.0
327,1748,MG,Bom,23,4800.0,4500.0,5280.0,480.0
328,1750,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
329,1755,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
330,1765,MG,Bom,23,4800.0,4500.0,5280.0,480.0
331,1767,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
332,1772,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
333,1782,MG,Bom,23,4800.0,4500.0,5280.0,480.0
334,1784,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
335,1789,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
336,1799,MG,Bom,23,4800.0,4500.0,5280.0,480.0
337,1801,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
338,1806,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
339,1816,MG,Bom,23,4800.0,4500.0,5280.0,480.0
340,1818,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
341,1823,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
342,1833,MG,Bom,23,4800.0,4500.0,5280.0,480.0
343,1835,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
344,1840,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
345,1850,MG,Bom,23,4800.0,4500.0,5280.0,480.0
346,1852,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
347,1857,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
348,1867,MG,Bom,23,4800.0,4500.0,5280.0,480.0
349,1869,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
350,1874,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
351,1884,MG,Bom,23,4800.0,4500.0,5280.0,480.0
352,1886,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
353,1891,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
354,1901,MG,Bom,23,4800.0,4500.0,5280.0,480.0
355,1903,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
356,1908,PR,Bom,42,4800.0,4500.0,5280.0,480.0
357,1910,SP,Bom,48,3900.0,4500.0,5070.0,1170.0
358,1915,SP,Bom,62,4500.0,4500.0,5850.0,1350.0
359,1925,PR,Bom,42,4800.0,4500.0,5280.0,480.0
360,1927,SP,Bom,48,3900.0,4500.0,5070.0,1170.0
361,1932,SP,Bom,62,4800.0,4500.0,5280.0,480.0
362,1939,SP,Bom,30,4500.0,4500.0,5850.0,1350.0
363,1949,SP,Bom,62,4800.0,4500.0,5280.0,480.0
364,1956,SP,Bom,30,4800.0,4500.0,5280.0,480.0
365,1958,SC,Bom,35,3900.0,4500.0,5070.0,1170.0
366,1963,SC,Bom,53,4500.0,4500.0,5850.0,1350.0
367,1973,SP,Bom,30,4800.0,4500.0,5280.0,480.0
368,1975,SC,Bom,35,3900.0,4500.0,5070.0,1170.0
369,1980,SC,Bom,53,4800.0,4500.0,5280.0,480.0
370,1982,RJ,Bom,57,3900.0,4500.0,5070.0,1170.0
371,1987,SC,Bom,25,4500.0,4500.0,5850.0,1350.0
372,1997,SC,Bom,53,4800.0,4500.0,5280.0,480.0
373,1999,RJ,Bom,57,3900.0,4500.0,5070.0,1170.0
374,2011,PR,Bom,51,4800.0,4500.0,5280.0,480.0
375,2013,SP,Bom,55,3900.0,4500.0,5070.0,1170.0
376,2018,SP,Bom,23,4800.0,4500.0,5280.0,480.0
377,2020,SP,Bom,27,3900.0,4500.0,5070.0,1170.0
378,2025,SP,Bom,42,4500.0,4500.0,5850.0,1350.0
379,2043,MG,Bom,45,4800.0,4500.0,5280.0,480.0
380,2045,PR,Bom,51,3900.0,4500.0,5070.0,1170.0
381,2050,PR,Bom,65,4800.0,4500.0,5280.0,480.0
382,2052,SP,Bom,23,3900.0,4500.0,5070.0,1170.0
383,2057,PR,Bom,32,4500.0,4500.0,5850.0,1350.0
384,2075,RJ,Bom,35,4800.0,4500.0,5280.0,480.0
385,2077,MG,Bom,45,3900.0,4500.0,5070.0,1170.0
386,2082,MG,Bom,30,4800.0,4500.0,5280.0,480.0
387,2084,PR,Bom,35,3900.0,4500.0,5070.0,1170.0
388,2089,MG,Bom,53,4500.0,4500.0,5850.0,1350.0
389,2100,SC,Bom,32,4800.0,4500.0,5280.0,480.0
390,2102,RJ,Bom,42,3900.0,4500.0,5070.0,1170.0
391,2107,SC,Bom,55,4500.0,4500.0,5850.0,1350.0
392,2117,SC,Bom,32,4800.0,4500.0,5280.0,480.0
393,2119,RJ,Bom,42,3900.0,4500.0,5070.0,1170.0
394,2123,MG,Bom,53,4800.0,4500.0,5280.0,480.0
395,2125,PR,Bom,57,3900.0,4500.0,5070.0,1170.0
396,2130,PR,Bom,25,4500.0,4500.0,5850.0,1350.0
397,2140,MG,Bom,53,4800.0,4500.0,5280.0,480.0
398,2142,PR,Bom,57,3900.0,4500.0,5070.0,1170.0
399,2146,SC,Bom,23,4800.0,4500.0,5280.0,480.0
400,2148,RJ,Bom,27,3900.0,4500.0,5070.0,1170.0
401,2153,RJ,Bom,42,4500.0,4500.0,5850.0,1350.0
402,2163,SC,Bom,45,4800.0,4500.0,5280.0,480.0
403,2165,RJ,Bom,51,3900.0,4500.0,5070.0,1170.0
404,2169,PR,Bom,62,4800.0,4500.0,5280.0,480.0
405,2176,PR,Bom,30,4500.0,4500.0,5850.0,1350.0
406,2186,PR,Bom,62,4800.0,4500.0,5280.0,480.0
407,2192,SC,Bom,28,4800.0,4500.0,5280.0,480.0
408,2194,RJ,Bom,32,3900.0,4500.0,5070.0,1170.0
409,2199,RJ,Bom,51,4500.0,4500.0,5850.0,1350.0
410,2209,SC,Bom,28,4800.0,4500.0,5280.0,480.0
411,2211,RJ,Bom,32,3900.0,4500.0,5070.0,1170.0
412,2215,PR,Bom,48,4800.0,4500.0,5280.0,480.0
413,2217,SP,Bom,53,3900.0,4500.0,5070.0,1170.0
414,2232,PR,Bom,48,4800.0,4500.0,5280.0,480.0
